Order ID,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Base Price per Unit
CA-2017-164973,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.88,1,0.1,111.73
CA-2018-138009,OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,555.21,5,0.1,75.26
CA-2018-112452,OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,644.08,2,0.1,268.37
CA-2018-114069,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,1931.04,9,0.1,178.8
CA-2018-109512,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",383.61,7,0.1,45.67
CA-2017-148586,FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",366.79,7,0.1,43.08
CA-2018-161718,FUR-CH-10002372,Furniture,Chairs,Office Star - Ergonomically Designed Knee Chair,364.41,5,0.1,71.26
CA-2018-161718,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",361.76,2,0.1,146.72
CA-2018-130659,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",384.17,7,0.1,50.61
CA-2018-150791,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",271.76,2,0.1,105.69
CA-2017-168130,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,887.1,7,0.1,101.38
CA-2017-166989,FUR-CH-10001797,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",69.26,2,0.1,27.32
CA-2017-150301,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",63.88,1,0.1,53.24
CA-2017-124478,OFF-AP-10002495,Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",167.54,3,0.1,43.44
US-2018-160857,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",127.76,2,0.1,53.24
CA-2018-124107,OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,29.4,3,0.1,8.06
CA-2018-162047,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,1448.82,10,0.1,123.95
US-2018-126977,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,199.76,2,0.1,95.44
CA-2018-100657,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",109.76,2,0.1,50.61
CA-2017-163447,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",767.21,14,0.1,43.23
CA-2017-167927,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,0.1,38.53
CA-2017-166891,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",589.41,5,0.1,119.19
CA-2018-126739,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,327.56,4,0.1,76.43
CA-2018-166947,FUR-CH-10004997,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,1522.64,9,0.1,150.38
CA-2018-141740,FUR-CH-10001545,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,205.16,2,0.1,95.74
CA-2017-163412,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,192.19,3,0.1,51.96
CA-2018-142734,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,127.76,2,0.1,62.46
CA-2018-136805,OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,850.5,5,0.1,120.96
CA-2018-120782,OFF-AP-10003779,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,186.73,1,0.1,145.24
CA-2018-127327,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",90.88,1,0.1,75.74
CA-2018-114811,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,577.76,2,0.1,231.11
CA-2018-110814,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",164.65,3,0.1,50.61
CA-2017-146815,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,172.76,2,0.1,79.66
CA-2018-165799,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,117.88,1,0.1,116.57
CA-2018-160227,FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,2621.32,11,0.1,187.99
US-2017-157070,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,65.52,5,0.1,10.63
CA-2018-124499,OFF-AP-10002191,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,269.91,5,0.1,43.19
CA-2018-151869,FUR-CH-10001545,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,102.58,1,0.1,95.74
CA-2018-111948,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",123.86,2,0.1,38.53
CA-2017-125997,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,631.78,2,0.1,245.69
CA-2017-116246,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,3785.29,6,0.1,560.78
CA-2017-156160,FUR-CH-10004983,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,579.53,4,0.1,123.95
CA-2020-117457,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.83,13,0.15,100.41
CA-2020-140963,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.17,5,0.15,108.88
CA-2020-140585,FUR-BO-10002206,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83,1,0.15,132.52
CA-2020-124086,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.98,2,0.15,93.59
CA-2020-104003,FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,307.67,2,0.15,161.07
CA-2020-108070,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.83,1,0.15,108.88
US-2019-146794,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,424.96,5,0.15,80.99
CA-2019-108735,FUR-BO-10003441,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",257.5,3,0.15,77.75
CA-2020-130764,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",556.67,5,0.15,110.02
CA-2020-149881,FUR-BO-10003894,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",482.66,8,0.15,49.69
CA-2019-147137,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1279.17,5,0.15,210.69
CA-2020-112753,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",917.92,9,0.15,93.59
US-2020-133312,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",359.5,3,0.15,129.7
CA-2019-117681,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,556.67,5,0.15,110.02
US-2019-108497,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",599.17,5,0.15,112.78
CA-2020-142342,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1194.17,5,0.15,196.69
US-2020-153255,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",239.67,2,0.15,112.78
CA-2019-123512,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",239.67,2,0.15,112.78
CA-2020-141201,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,148.26,3,0.15,44.19
CA-2019-123337,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",273.67,2,0.15,143.27
US-2020-109316,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1497.67,2,0.15,678.35
CA-2019-149762,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,205.67,2,0.15,108.88
CA-2020-109393,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",436,3,0.15,143.62
CA-2019-163972,FUR-BO-10003894,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",120.67,2,0.15,49.69
CA-2020-159226,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",344.98,7,0.15,45.22
CA-2019-148747,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",477.67,2,0.15,196.69
CA-2019-107104,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,3406.66,8,0.15,405.79
CA-2017-144666,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.67,2,0.15,106.09
CA-2017-168494,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,254.97,3,0.15,80.99
CA-2017-156349,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,290.67,2,0.15,131.65
CA-2018-130785,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.33,4,0.15,104.04
CA-2018-130785,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.2,3,0.15,104.63
CA-2018-164882,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,425.83,1,0.15,405.79
CA-2018-111514,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1552.83,7,0.15,193.13
CA-2018-138534,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",195.47,2,0.15,104.63
CA-2017-154599,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,308.5,3,0.15,108.88
CA-2018-126137,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",120.67,2,0.15,51.11
US-2017-134733,FUR-BO-10002916,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",436,3,0.15,138.49
CA-2017-115161,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,0.15,143.62
CA-2017-101931,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,617,6,0.15,108.88
CA-2018-130456,FUR-BO-10003893,Furniture,Bookcases,Sauder Camden County Collection Library,586.4,6,0.15,91.98
CA-2017-157147,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3,0.15,110.02
CA-2017-105249,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.33,4,0.15,104.04
CA-2017-131247,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,205.67,2,0.15,108.88
CA-2017-111871,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33,10,0.15,112.78
CA-2018-100146,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",509.96,5,0.15,93.59
CA-2018-121188,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,307.67,2,0.15,139.35
CA-2018-168207,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,512.5,3,0.15,180.88
CA-2017-119144,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",305.97,3,0.15,93.59
US-2018-145422,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",359.5,3,0.15,129.7
CA-2017-113271,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",119.83,1,0.15,112.78
CA-2018-104948,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,683.33,4,0.15,180.88
CA-2020-114412,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,3.37
CA-2019-161389,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,91.79
CA-2019-121755,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,3.71
CA-2020-107727,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3,0.2,6.51
CA-2019-117590,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,139.15
CA-2020-120999,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4,0.2,32.65
CA-2020-139619,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,43.03
CA-2019-111682,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,8.03
CA-2019-106075,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,2.89
US-2020-118038,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,8.17
US-2020-119662,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,93.11
CA-2019-159695,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,20.64
CA-2019-109806,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2,0.2,32.65
CA-2020-157833,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3,0.2,11.12
CA-2019-158568,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7,0.2,6
CA-2019-158568,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.2,35.59
CA-2020-119004,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8,0.2,7.06
CA-2020-119004,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.99,1,0.2,25.89
CA-2020-119004,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.3,1,0.2,2.23
US-2020-107272,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99,7,0.2,30.5
US-2019-125969,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.42,2,0.2,45.29
US-2020-164147,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.3,2,0.2,24.47
US-2020-164147,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.46,9,0.2,1.61
CA-2019-145583,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.18,3,0.2,16.5
CA-2019-110366,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,36.23
CA-2019-158834,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,28.03
CA-2019-158834,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.18,2,0.2,93.97
CA-2019-113817,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9
CA-2019-157000,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.22,3,0.2,11.17
CA-2019-157000,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.02,3,0.2,4.59
US-2020-124303,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.06,3,0.2,3.41
CA-2020-105074,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.74,3,0.2,4.98
CA-2020-126382,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.17,7,0.2,3.64
CA-2020-108329,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.77,4,0.2,100.07
CA-2019-130162,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.38,3,0.2,93.23
US-2020-100930,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.07,3,0.2,86.02
US-2020-100930,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.98,3,0.2,208.57
CA-2019-157749,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92,5,0.2,3.3
CA-2019-157749,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,31.98,2,0.2,10.39
CA-2019-157749,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.41,2,0.2,3.1
CA-2019-154739,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2,0.2,146.72
CA-2020-163139,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,17.52,5,0.2,2.28
CA-2019-125318,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.22,4,0.2,74.88
CA-2020-136826,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",14.02,3,0.2,3.1
US-2020-145366,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,37.21,1,0.2,44.65
US-2020-145366,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.58,3,0.2,12
CA-2020-132976,OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11.65,2,0.2,3.79
CA-2020-132976,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",18.18,4,0.2,3.07
CA-2020-132976,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,59.71,6,0.2,8.96
CA-2020-132976,OFF-LA-10002043,Office Supplies,Labels,Avery 489,24.84,3,0.2,5.38
CA-2019-112697,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",194.53,2,0.2,85.11
CA-2019-112697,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48,5,0.2,233.16
CA-2019-110772,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,19.1,7,0.2,1.77
CA-2019-110772,OFF-LA-10004689,Office Supplies,Labels,Avery 512,18.5,8,0.2,1.53
CA-2019-110772,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,255.98,2,0.2,100.79
CA-2019-142902,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.14,4,0.2,2.89
